FID,globalid,uniq_id,timestamp,editor,wardname,wardcode,lganame,lgacode,statename,statecode,idp_hf_prv,idp_hf,idp_am_mdc,tot_hhold,f_pop_60,m_pop_pl60,f_pop18_59,m_pop18_59,f_pop6_17,m_pop6_17,f_pop1_5,m_pop1_5,f_pop_und1,b_pop_und1,site_id,idp_prtb_w,idp_amnts,idp_am_hs,idp_am_med,agncy_cntc,agency_nam,sma_type,site_cls_d,site_opn_d,site_statu,site_type,set_name,alt_st_nam,t_pop_und5,total_pop,pop_source,site_name,x,y
370,30a34248-0ef4-46ff-bf2b-790e35f8dcbb,7284,2/2/2018 12:00:00 AM,adanna.alex,Faguji,BA0904,Giade,5009,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Ang Sale,10.2546800002818,11.5112900004332
371,bcad222a-d994-4711-b0dd-15e1be77c065,7285,2/2/2018 12:00:00 AM,adanna.alex,Zabi,BA0909,Giade,5009,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Zabi,10.2921000001149,11.4973899997487
372,85955c9f-f18f-4197-8d5e-404fd46e90ba,7286,2/2/2018 12:00:00 AM,adanna.alex,Zirami,BA0910,Giade,5009,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Zirami, ,0,0,IOM DTM RD16 May 2017,Ang Fada,10.3535500001324,11.5602399995764
373,d9d5c9cf-7c82-4d20-bb7d-df6e0b94002a,7287,2/2/2018 12:00:00 AM,adanna.alex,Buzawa,BA1006,Itas/Gadau,5010,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Galadimawa, ,0,0,IOM DTM RD16 May 2017,Galadimawa,9.71719000001855,11.7606500000975
374,4cc1b2ab-c330-47e0-a4e4-ac8abf64b50c,7288,2/2/2018 12:00:00 AM,adanna.alex,Buzawa,BA1006,Itas/Gadau,5010,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Buzawa Tsangayar Alaramma, ,0,0,IOM DTM RD16 May 2017,Buzawa,9.70540999997155,11.7689200001579
375,0204eaba-0100-4ace-8792-adccd47af9a1,7289,2/2/2018 12:00:00 AM,adanna.alex,Melendigi,BA1016,Itas/Gadau,5010,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Melandige, ,0,0,IOM DTM RD16 May 2017,Malendige,10.2133799995873,11.9588100002813
376,6e7e5640-8da5-4636-b459-142853560a91,7290,2/2/2018 12:00:00 AM,adanna.alex,Gadau,BA1009,Itas/Gadau,5010,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Gadau, ,0,0,IOM DTM RD16 May 2017,Gadau,10.1640700000305,11.8364699999906
377,802802f4-bc7d-4711-b3a0-67d86e353df4,7291,2/2/2018 12:00:00 AM,adanna.alex,Gwarai,BA1003,Itas/Gadau,5010,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Gwarai, ,0,0,IOM DTM RD16 May 2017,Gwarai,9.90260999995161,11.8160800003918
378,62eba1bf-8560-483b-8e61-2965e3375a3b,7292,2/2/2018 12:00:00 AM,adanna.alex,Kashuri,BA1010,Itas/Gadau,5010,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kashuri, ,0,0,IOM DTM RD16 May 2017,Kashuri,10.2132899999336,11.794660000059
379,7dc9ea95-df44-4a80-b68c-24d27de600f3,7293,2/2/2018 12:00:00 AM,adanna.alex,Mashema,BA1002,Itas/Gadau,5010,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Mashema, ,0,0,IOM DTM RD16 May 2017,Mashema,9.9432200003028,11.7824499999676
380,e05dcf41-f2ec-4b77-9244-9a943d9652bb,7294,2/2/2018 12:00:00 AM,adanna.alex,Mashema,BA1002,Itas/Gadau,5010,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Majiya, ,0,0,IOM DTM RD16 May 2017,Majiya,9.90082000014291,11.8315000001249
381,5c4b84d6-56b1-445c-896f-2db5028ac5cb,7295,2/2/2018 12:00:00 AM,adanna.alex,Zubiki,BA1011,Itas/Gadau,5010,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Zubuki, ,0,0,IOM DTM RD16 May 2017,Zubuki,10.0498700001005,11.8351399998112
382,e408a601-af81-4754-a986-33cd16fc9129,7296,2/2/2018 12:00:00 AM,adanna.alex,Atafowa,BA1012,Itas/Gadau,5010,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Malam, ,0,0,IOM DTM RD16 May 2017,Garin Mallam,10.0536000003398,11.9476999996553
383,9c8a5340-3537-4f5b-8684-aeaf685bf88e,7297,2/2/2018 12:00:00 AM,adanna.alex,Dogon Jeji A,BA1105,Jama'Are,5011,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Walawa,9.95712000008797,11.7434700001405
384,847a9b36-ed02-4ef3-a72a-476b0b12c6f1,7298,2/2/2018 12:00:00 AM,adanna.alex,Dogon Jeji C,BA1107,Jama'Are,5011,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Gongo Kofar, ,0,0,IOM DTM RD16 May 2017,Gongo,9.95839000019839,11.7071400002109
385,7059a360-a8a0-4502-a4f0-585b605c0bbe,7299,2/2/2018 12:00:00 AM,adanna.alex,Jama'are B,BA1102,Jama'Are,5011,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Yarimari,9.93249999967531,11.6644799997522
386,0c638a00-d1da-438a-88ff-54449d7c8dba,7300,2/2/2018 12:00:00 AM,adanna.alex,Jama'are A,BA1101,Jama'Are,5011,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Tudun Wada,9.92305999961934,11.6675599996943
387,cca2bb0f-81dd-48c0-9209-3a379cf6f591,7301,2/2/2018 12:00:00 AM,adanna.alex,Jama'are B,BA1102,Jama'Are,5011,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Hurare,9.93056000014394,11.6698599996393
388,00fcd127-2bcb-45b1-8d21-4b4c24a72d75,7302,2/2/2018 12:00:00 AM,adanna.alex,Jama'are C,BA1103,Jama'Are,5011,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Masallacin,9.93150000032483,11.6594499998177
389,24cf3b37-cf03-49d6-ae86-c52b5262951a,7303,2/2/2018 12:00:00 AM,adanna.alex,Jama'are D,BA1104,Jama'Are,5011,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Jama'are D, ,0,0,IOM DTM RD16 May 2017,Nasarawo,9.93228999988366,11.6729300000196
390,5e3e390c-eb5b-45c5-8058-c940757007a8,7304,2/2/2018 12:00:00 AM,adanna.alex,Jama'are D,BA1104,Jama'Are,5011,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Jama'are D, ,0,0,IOM DTM RD16 May 2017,Chikamadari,9.92319000021837,11.6747999999201
391,7917b008-778d-4b92-a4e5-ec66bb849fd6,7305,2/2/2018 12:00:00 AM,adanna.alex,Buskuri,BA1205,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Buskuri, ,0,0,IOM DTM RD16 May 2017,Buskuri,10.3215700002553,11.6489500003423
392,d6cdea52-0a66-4b26-ab12-a7e67d7957e6,7306,2/2/2018 12:00:00 AM,adanna.alex,Chinade,BA1208,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Chinade,10.4196299996248,11.5177299997397
393,d128fe68-021f-4c3a-8d8b-cdfdbffddaae,7307,2/2/2018 12:00:00 AM,adanna.alex,Bidir,BA1207,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Bidir,10.2045600002439,11.6223700003753
394,3595de17-a8e5-4e08-bae3-a0a638a65fe6,7308,2/2/2018 12:00:00 AM,adanna.alex,Gambaki,BA1212,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Gambaki,10.3589300000195,11.5835899998787
395,3889d43f-4729-417d-a2e9-0f8494bead6d,7309,2/2/2018 12:00:00 AM,adanna.alex,Madachi,BA1215,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Madachi,10.429060000119,11.4976700000705
396,f2c97b0d-a501-49e5-99e5-819f1ad0a3d6,7310,2/2/2018 12:00:00 AM,adanna.alex,Madangala,BA1203,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kujuru, ,0,0,IOM DTM RD16 May 2017,Kujuru,10.1491000003648,11.6653900003483
397,075fa13b-7702-45b0-aadb-9db9efd48016,7311,2/2/2018 12:00:00 AM,adanna.alex,Madara,BA1204,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Madara, ,0,0,IOM DTM RD16 May 2017,Madara,10.4484199998831,11.7805699996059
398,18733027-d87c-45c3-93ee-bdf01bb4e564,7312,2/2/2018 12:00:00 AM,adanna.alex,Nasarawa A,BA1217,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Odoji,10.1967299997897,11.6690700000805
399,92051694-101d-4625-bef0-cdd5288de0c5,7353,2/2/2018 12:00:00 AM,adanna.alex,Kurmi,BA1511,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kurmi, ,0,0,IOM DTM RD16 May 2017,Kofar Fada,8.99015000002254,11.0830500002573
400,3fd7a6ef-1941-41a3-a41c-0a601b8bf932,7313,2/2/2018 12:00:00 AM,adanna.alex,Matsango,BA1216,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Matsango, ,0,0,IOM DTM RD16 May 2017,Matsango,10.1955500002324,11.6634899999636
401,0ab16083-1a14-4a09-8fb4-eb27ecaf48fa,7314,2/2/2018 12:00:00 AM,adanna.alex,Matsango,BA1216,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Matsango, ,0,0,IOM DTM RD16 May 2017,Dabar Makaho,10.1906000003897,11.6649299998197
402,354b1845-d767-4a84-b992-c49f1332f16a,7315,2/2/2018 12:00:00 AM,adanna.alex,Ragwam,BA1219,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Miga, ,0,0,IOM DTM RD16 May 2017,Ragwam,10.1057300004392,11.745440000156
403,012c185c-f406-469f-bca4-e4043bd79474,7316,2/2/2018 12:00:00 AM,adanna.alex,Ragwam,BA1219,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Tsangaya, ,0,0,IOM DTM RD16 May 2017,Mogonshi,10.1369999999501,11.7271300002494
404,b2be8840-56b3-4461-96d7-4d0d07cd8a90,7317,2/2/2018 12:00:00 AM,adanna.alex,Tsakuwa,BA1201,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Tatari Ali, ,0,0,IOM DTM RD16 May 2017,Kofar Gabas,10.1951400002109,11.6779900004382
405,9990ffb2-16d0-4a26-8269-d5df7b2fe311,7318,2/2/2018 12:00:00 AM,adanna.alex,Kafin Kuka,BA1214,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Ramin Kasa, ,0,0,IOM DTM RD16 May 2017,Tatari Quarters,10.1927099996668,11.6836499997477
406,db79b17b-f012-42c2-85f4-1aee1536a7c1,7319,2/2/2018 12:00:00 AM,adanna.alex,Tsakuwa,BA1201,Katagum,5012,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Tatari Ali, ,0,0,IOM DTM RD16 May 2017,Tsakuwa,10.1942099995919,11.6799799995774
407,e3de20ce-fb36-46b5-9050-25d8fa841b19,7320,2/2/2018 12:00:00 AM,adanna.alex,Akuyam,BA1408,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Yayu,10.6258999996853,11.4702000004297
408,a269f935-4091-45b1-9d87-87fe0ae27db7,7321,2/2/2018 12:00:00 AM,adanna.alex,Badara,BA1301,Kirfi,5013,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Fada,10.3590799997422,10.3508400001659
409,fe3397e5-0d28-4189-8d95-70ebae1a5233,7322,2/2/2018 12:00:00 AM,adanna.alex,Bara,BA1302,Kirfi,5013,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kalajanga West, ,0,0,IOM DTM RD16 May 2017,Kala Janga,10.6343499999526,10.3270100002114
410,ddf65d22-3f77-4933-9bb0-8d64df17aef2,7323,2/2/2018 12:00:00 AM,adanna.alex,Bara,BA1302,Kirfi,5013,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Unguwan Madaki, ,0,0,IOM DTM RD16 May 2017,Bara,10.7251499999726,10.3763700002754
411,3a2a9803-06f3-41b1-98ff-d9b71e51a4c1,7324,2/2/2018 12:00:00 AM,adanna.alex,Guyaba,BA1306,Kirfi,5013,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Nasarawa,10.3569300004193,10.4015100003863
412,b992c2a8-afaf-4f4f-8dd7-ecadffa178d5,7325,2/2/2018 12:00:00 AM,adanna.alex,Dewu,BA1305,Kirfi,5013,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Dewu Unguwar Sarki, ,0,0,IOM DTM RD16 May 2017,Kwanta,10.4450500000575,10.5053500001025
413,aa8b2436-e436-4373-b70c-ea5f001d039e,7326,2/2/2018 12:00:00 AM,adanna.alex,Kafin Iya,BA1311,Kirfi,5013,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kafin Iya Ungwar Yamma, ,0,0,IOM DTM RD16 May 2017,Kafin Iya,10.4690099997118,10.5882500000375
414,215522d9-e786-44a9-acd0-e444a8623d28,7327,2/2/2018 12:00:00 AM,adanna.alex,Tubule,BA1309,Kirfi,5013,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Tubule,10.6695899999785,10.4580600001689
415,f31382cd-1fc8-4e34-bd3b-85048c96d802,7328,2/2/2018 12:00:00 AM,adanna.alex,Wanka,BA1310,Kirfi,5013,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Wanka Bakin Kasuwa, ,0,0,IOM DTM RD16 May 2017,Wanka,10.4374199998332,10.4513999997102
416,2c9276ef-ce56-40e2-9752-94a2138eafea,7329,2/2/2018 12:00:00 AM,adanna.alex,Gwaram,BA1410,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Kasuwa Sabo,10.5827599995744,11.4637099997167
417,3e8c68e9-1364-4c13-b9a1-811a0eca8980,7330,2/2/2018 12:00:00 AM,adanna.alex,Gwaram,BA1410,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Gwaram,10.582420000083,11.4636899996938
418,b0e7dc45-f617-4f4a-ad9a-57bc4081012a,7331,2/2/2018 12:00:00 AM,adanna.alex,Hardawa,BA1407,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Angwan Dutse,10.4619899997388,11.4239899999386
419,81f339d1-2f90-42de-995d-eeb703a36252,7332,2/2/2018 12:00:00 AM,adanna.alex,Hardawa,BA1407,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Angwan Ganu,10.4646799996823,11.4239299998696
420,b1be6bfa-e025-4ed9-bd6a-748cf1fa11ad,7333,2/2/2018 12:00:00 AM,adanna.alex,Kukadi A,BA1404,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Tamsagari,10.4654700001404,11.3159899999386
421,141c6e0e-da9a-4557-b2fb-a7ae36907a66,7334,2/2/2018 12:00:00 AM,adanna.alex,Gundari,BA1413,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Mangari,10.4753899998487,11.3168900000735
422,dda21498-f8b9-47d5-9254-f567ce5d72a5,7335,2/2/2018 12:00:00 AM,adanna.alex,Akuyam,BA1408,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Sarma,10.6229700003653,11.4671100000265
423,33229a1c-ac5b-43fe-abb8-acf8003afc08,7336,2/2/2018 12:00:00 AM,adanna.alex,Akuyam,BA1408,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Kofar Fada,10.6233499999026,11.4651899996188
424,c7bda567-09ae-4cb7-98a6-e68b6228edba,7337,2/2/2018 12:00:00 AM,adanna.alex,Akuyam,BA1408,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Turaki,10.6244500002674,11.4662800004217
425,239b7f44-33f8-4a59-beb6-64847dd14e52,7338,2/2/2018 12:00:00 AM,adanna.alex,Hardawa,BA1407,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Burungutu,10.4597200002779,11.4241900001684
426,0e144271-ca42-44a3-91ea-10803de9d9a3,7339,2/2/2018 12:00:00 AM,adanna.alex,Zadawa,BA1401,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Angwa Ganu,10.3676300001244,11.4478399999161
427,63d51b74-cb30-48c7-9fd3-2d8467f8fadc,7340,2/2/2018 12:00:00 AM,adanna.alex,Zadawa,BA1401,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Angwan Garu,10.3677999998702,11.4489099997967
428,36577b7b-3839-4ef3-848f-4d36a2ab5346,7341,2/2/2018 12:00:00 AM,adanna.alex,Zadawa,BA1401,Misau,5014,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Angwan Dutse,10.3682899999836,11.4487899996588
429,2deddab5-0550-4b98-85f5-9b2988114e77,7342,2/2/2018 12:00:00 AM,adanna.alex,Balma,BA1505,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Balma, ,0,0,IOM DTM RD16 May 2017,Kara,9.40289999993507,11.2141600002838
430,cd1c27f8-a963-4b44-987a-c2ba6725b3c3,7343,2/2/2018 12:00:00 AM,adanna.alex,Balma,BA1505,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Balma, ,0,0,IOM DTM RD16 May 2017,Toran Kawa,9.4064799995524,11.2176100002014
431,e10a4a6b-cf45-49fc-b94f-cbc67fdee44f,7344,2/2/2018 12:00:00 AM,adanna.alex,Balma,BA1505,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Balma, ,0,0,IOM DTM RD16 May 2017,Kofar Fada,9.40790999984665,11.2144799997523
432,0128124a-44e9-400f-b7f9-8b4283e47b4b,7345,2/2/2018 12:00:00 AM,adanna.alex,Kyata,BA1514,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kofar Sarkin Kyata, ,0,0,IOM DTM RD16 May 2017,Kyata,8.90698999978872,11.0043299997297
433,e7b8c0da-a8c2-4e0c-92c5-443b05168670,7346,2/2/2018 12:00:00 AM,adanna.alex,Burra,BA1508,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Budugu, ,0,0,IOM DTM RD16 May 2017,Burra,8.90168000043172,11.0195700001555
434,4a7ab471-9bb2-428b-95b1-b53c625587ed,7347,2/2/2018 12:00:00 AM,adanna.alex,Dingis,BA1502,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Bugaje, ,0,0,IOM DTM RD16 May 2017,Katsinawa Dingis,9.53989999998504,11.1390899999036
435,0ce09741-e191-4d2a-b0af-359f563dcae4,7348,2/2/2018 12:00:00 AM,adanna.alex,Jangu,BA1504,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Bekwala, ,0,0,IOM DTM RD16 May 2017,Zakara,9.55984999997759,10.9153299999796
436,8acb1838-4ed2-4103-8835-70ed40765bf0,7349,2/2/2018 12:00:00 AM,adanna.alex,Jangu,BA1504,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Kujera Cikin Gari, ,0,0,IOM DTM RD16 May 2017,Kujera,9.58392999976974,10.8833999997103
437,42e097b3-cef2-4702-a9c1-7d80ba22245b,7350,2/2/2018 12:00:00 AM,adanna.alex,Jangu,BA1504,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Tsangayar Guda, ,0,0,IOM DTM RD16 May 2017,Gadar Maiwa,9.60116999979573,10.9316499998477
438,4e61998d-b5af-4f81-88ca-847d3faa53ca,7351,2/2/2018 12:00:00 AM,adanna.alex,Kudu Yamma,BA1506,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Katsinawa, ,0,0,IOM DTM RD16 May 2017,Katsinanwa Tabula,9.42648000005198,10.9336999999551
439,690eae81-52a5-4dcc-bb50-212db4619d83,7352,2/2/2018 12:00:00 AM,adanna.alex,Kudu Yamma,BA1506,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Batu Tudun, ,0,0,IOM DTM RD16 May 2017,Baju,9.45359999974022,10.8779999998002
440,6fc01fe0-80ce-43f0-8620-dc935258c796,7354,2/2/2018 12:00:00 AM,adanna.alex,Nasaru A,BA1503,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Ung Galadima,9.59221999985317,11.2326799999821
441,f0f7c6f1-65a0-4245-a6f1-10c812ac353e,7355,2/2/2018 12:00:00 AM,adanna.alex,Tudun Wada,BA1909,Warji,5019,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Unguwar Abdu Kamisu, ,0,0,IOM DTM RD16 May 2017,Tsangaya Tudu,9.65288999987365,11.2247700003353
442,d111bde5-4966-4933-becf-8e530093fe31,7356,2/2/2018 12:00:00 AM,adanna.alex,Nasaru A,BA1503,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Garin Liman, ,0,0,IOM DTM RD16 May 2017,Ung Madaki,9.59511000002652,11.2324999997752
443,8fa0e209-7449-4f57-b043-e6dd57e86ac8,7357,2/2/2018 12:00:00 AM,adanna.alex,Ningi East,BA1501,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Tatari Ali, ,0,0,IOM DTM RD16 May 2017,Ningi East,9.57076000037375,11.0777499995629
444,31f30e21-c281-4847-aec3-9d7569039fef,7358,2/2/2018 12:00:00 AM,adanna.alex,Sama,BA1509,Ningi,5015,Bauchi,BA, , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , ,0, , ,,, ,Host Communities,Yada Gungume, ,0,0,IOM DTM RD16 May 2017,Yada Gugunme,9.05935000040222,10.8686999999051
